quadgram,quad_count,suffix,obscenity
as_you_can_see,29,see,FALSE
i_had_no_idea,29,idea,FALSE
i_look_forward_to,29,to,FALSE
on_the_way_to,29,to,FALSE
the_side_of_the,29,the,FALSE
to_get_to_the,29,the,FALSE
you_for_the_follow,29,follow,FALSE
at_the_bottom_of,28,of,FALSE
end_of_the_day,28,day,FALSE
i_feel_like_i,28,i,FALSE
in_front_of_the,28,the,FALSE
let_me_know_if,28,if,FALSE
the_name_of_the,28,the,FALSE
those_of_you_who,28,who,FALSE
will_be_able_to,28,to,FALSE
in_the_form_of,27,of,FALSE
not_be_able_to,27,to,FALSE
nothing_to_do_with,27,with,FALSE
thanks_for_the_shout,27,shout,FALSE
to_be_a_part,27,part,FALSE
you_have_a_great,27,great,FALSE
a_lot_of_fun,26,fun,FALSE
a_lot_of_the,26,the,FALSE
as_long_as_you,26,you,FALSE
can_i_get_a,26,a,FALSE
for_a_long_time,26,time,FALSE
from_time_to_time,26,time,FALSE
happy_mothers_day_to,26,to,FALSE
i_wish_i_was,26,was,FALSE
in_front_of_me,26,me,FALSE
in_the_united_states,26,states,FALSE
is_one_of_those,26,those,FALSE
it_would_be_a,26,a,FALSE
on_top_of_the,26,the,FALSE
the_beginning_of_the,26,the,FALSE
the_fact_that_the,26,the,FALSE
the_first_time_i,26,i,FALSE
this_is_going_to,26,to,FALSE
at_the_beginning_of,25,of,FALSE
have_no_idea_what,25,what,FALSE
i_don't_think_i,25,i,FALSE
know_what_to_do,25,do,FALSE
not_the_only_one,25,one,FALSE
thank_you_to_all,25,all,FALSE
the_only_thing_that,25,that,FALSE
to_be_a_good,25,good,FALSE
to_be_in_the,25,the,FALSE
to_do_with_the,25,the,FALSE
a_couple_of_weeks,24,weeks,FALSE
a_lot_of_time,24,time,FALSE
all_over_the_world,24,world,FALSE
at_the_top_of,24,of,FALSE
do_you_want_to,24,to,FALSE
for_a_few_days,24,days,FALSE
for_the_most_part,24,part,FALSE
if_you_have_a,24,a,FALSE
in_a_long_time,24,time,FALSE
looking_forward_to_seeing,24,seeing,FALSE
love_you_<_3,24,3,FALSE
on_the_other_side,24,side,FALSE
thanks_for_following_me,24,me,FALSE
the_fact_that_i,24,i,FALSE
want_to_go_to,24,to,FALSE
what_are_you_doing,24,doing,FALSE
would_love_to_see,24,see,FALSE
you_don't_have_to,24,to,FALSE
you_don't_want_to,24,to,FALSE
a_few_years_ago,23,ago,FALSE
a_great_deal_of,23,of,FALSE
caps_caps_caps_caps,23,caps,FALSE
i_can't_wait_for,23,for,FALSE
i_just_wanted_to,23,to,FALSE
makes_me_want_to,23,to,FALSE
out_of_the_way,23,way,FALSE
this_is_what_i,23,i,FALSE
as_far_as_i,22,i,FALSE
did_you_know_that,22,that,FALSE
for_the_kind_words,22,words,FALSE
i_didn't_want_to,22,to,FALSE
i_don't_know_how,22,how,FALSE
i_don't_know_if,22,if,FALSE
i_love_you_so,22,so,FALSE
i_love_you_too,22,too,FALSE
i_was_in_the,22,the,FALSE
in_the_midst_of,22,of,FALSE
some_of_the_most,22,most,FALSE
the_end_of_this,22,this,FALSE
there_are_a_lot,22,lot,FALSE
this_is_not_a,22,a,FALSE
to_share_with_you,22,you,FALSE
was_going_to_be,22,be,FALSE
you_want_me_to,22,to,FALSE
as_part_of_the,21,the,FALSE
i_really_want_to,21,to,FALSE
i_thought_it_would,21,would,FALSE
i_want_to_do,21,do,FALSE
i_want_to_see,21,see,FALSE
i_want_you_to,21,to,FALSE
not_going_to_be,21,be,FALSE
so_that_i_can,21,can,FALSE
thank_you_to_everyone,21,everyone,FALSE
to_all_of_you,21,you,FALSE
to_go_back_to,21,to,FALSE
to_learn_how_to,21,to,FALSE
turned_out_to_be,21,be,FALSE
when_i_was_a,21,a,FALSE
you_have_to_be,21,be,FALSE
you_may_want_to,21,to,FALSE
a_member_of_the,20,the,FALSE
and_i_want_to,20,to,FALSE
are_a_lot_of,20,of,FALSE
are_going_to_be,20,be,FALSE
as_one_of_the,20,the,FALSE
at_the_age_of,20,of,FALSE
awkward_moment_when_you,20,you,FALSE
back_in_the_day,20,day,FALSE
but_i_have_to,20,to,FALSE
i_was_trying_to,20,to,FALSE
it_has_been_a,20,a,FALSE
nice_to_meet_you,20,you,FALSE
to_get_rid_of,20,of,FALSE
wait_to_see_what,20,what,FALSE
what_is_your_favorite,20,favorite,FALSE
would_like_to_see,20,see,FALSE
you_i_love_you,20,you,FALSE
you_know_what_i,20,i,FALSE
you_want_to_be,20,be,FALSE
a_couple_of_days,19,days,FALSE
as_long_as_i,19,i,FALSE
be_sure_to_check,19,check,FALSE
don't_want_to_be,19,be,FALSE
find_a_way_to,19,to,FALSE
i_don't_even_know,19,know,FALSE
i_don't_have_a,19,a,FALSE
i_don’t_want_to,19,to,FALSE
i_think_it_was,19,was,FALSE
if_i_want_to,19,to,FALSE
in_a_couple_of,19,of,FALSE
in_the_near_future,19,future,FALSE
just_got_back_from,19,from,FALSE
let_me_know_what,19,what,FALSE
let_me_know_when,19,when,FALSE
please_let_me_know,19,know,FALSE
pop_pop_pop_pop,19,pop,FALSE
thanks_to_all_who,19,who,FALSE
the_first_day_of,19,of,FALSE
the_only_one_who,19,who,FALSE
there_will_be_a,19,a,FALSE
this_is_a_great,19,great,FALSE
to_be_one_of,19,of,FALSE
to_go_to_work,19,work,FALSE
want_to_be_a,19,a,FALSE
was_supposed_to_be,19,be,FALSE
we_would_love_to,19,to,FALSE
would_you_like_to,19,to,FALSE
a_great_way_to,18,to,FALSE
be_able_to_do,18,do,FALSE
for_the_sake_of,18,of,FALSE
had_a_lot_of,18,of,FALSE
here_are_a_few,18,few,FALSE
i'm_going_to_be,18,be,FALSE
i'm_not_sure_if,18,if,FALSE
i_am_not_a,18,a,FALSE
i_am_trying_to,18,to,FALSE
i_can_tell_you,18,you,FALSE
i_don't_have_to,18,to,FALSE
i_get_to_see,18,see,FALSE
i_have_to_admit,18,admit,FALSE
i_need_to_be,18,be,FALSE
i_was_in_a,18,a,FALSE
i_went_to_the,18,the,FALSE
if_you_are_a,18,a,FALSE
in_the_process_of,18,of,FALSE
it_was_a_great,18,great,FALSE
know_what_you_think,18,think,FALSE
let_us_know_if,18,if,FALSE
on_a_daily_basis,18,basis,FALSE
over_and_over_again,18,again,FALSE
thank_you_all_for,18,for,FALSE
thank_you_for_following,18,following,FALSE
thanks_for_all_the,18,the,FALSE
thanks_for_the_retweet,18,retweet,FALSE
that_there_is_a,18,a,FALSE
the_other_side_of,18,of,FALSE
the_rest_of_my,18,my,FALSE
to_be_on_the,18,the,FALSE
to_do_the_same,18,same,FALSE
to_let_go_of,18,of,FALSE
would_be_a_good,18,good,FALSE
you_are_going_to,18,to,FALSE
you_have_to_do,18,do,FALSE
a_part_of_the,17,the,FALSE
and_i_have_been,17,been,FALSE
great_to_meet_you,17,you,FALSE
great_to_see_you,17,you,FALSE
had_so_much_fun,17,fun,FALSE
have_the_right_to,17,to,FALSE
i'm_looking_forward_to,17,to,FALSE
i'm_not_the_only,17,only,FALSE
i_have_to_get,17,get,FALSE
i_love_you_<,17,<,FALSE
i_love_you_i,17,i,FALSE
i_need_to_do,17,do,FALSE
i_wanted_to_be,17,be,FALSE
i_was_looking_for,17,for,FALSE
i_was_supposed_to,17,to,FALSE
in_a_way_that,17,that,FALSE
in_the_morning_and,17,and,FALSE
keep_up_the_good,17,good,FALSE
reminds_me_of_the,17,the,FALSE
should_be_able_to,17,to,FALSE
the_new_york_times,17,times,FALSE
the_start_of_the,17,the,FALSE
there_are_lots_of,17,of,FALSE
tip_of_the_day,17,day,FALSE
to_all_of_the,17,the,FALSE
to_get_back_to,17,to,FALSE
to_look_forward_to,17,to,FALSE
to_take_advantage_of,17,of,FALSE
what_can_i_say,17,say,FALSE
what_do_you_do,17,do,FALSE
you_would_like_to,17,to,FALSE
a_big_fan_of,16,of,FALSE
all_of_a_sudden,16,sudden,FALSE
and_i_had_a,16,a,FALSE
cake_cake_cake_cake,16,cake,FALSE
can't_wait_to_get,16,get,FALSE
don't_know_what_to,16,to,FALSE
end_of_the_world,16,world,FALSE
fall_in_love_with,16,with,FALSE
feel_the_same_way,16,way,FALSE
forward_to_seeing_you,16,you,FALSE
get_out_of_the,16,the,FALSE
going_to_have_a,16,a,FALSE
happy_mother's_day_to,16,to,FALSE
have_a_good_day,16,day,FALSE
have_no_idea_how,16,how,FALSE
hope_you're_having_a,16,a,FALSE
hope_you_had_a,16,a,FALSE
i_have_to_go,16,go,FALSE
i_hope_you_are,16,are,FALSE
i_want_to_get,16,get,FALSE
i_will_have_to,16,to,FALSE
in_addition_to_the,16,the,FALSE
in_the_case_of,16,of,FALSE
in_the_face_of,16,of,FALSE
it_is_hard_to,16,to,FALSE
it_would_have_been,16,been,FALSE
looking_forward_to_a,16,a,FALSE
looking_forward_to_your,16,your,FALSE
love_you_i_love,16,love,FALSE
love_you_so_much,16,much,FALSE
one_of_the_few,16,few,FALSE
one_of_those_days,16,days,FALSE
really_looking_forward_to,16,to,FALSE
take_the_time_to,16,to,FALSE
the_course_of_the,16,the,FALSE
the_only_one_that,16,that,FALSE
the_rest_of_us,16,us,FALSE
there_are_a_few,16,few,FALSE
this_time_of_year,16,year,FALSE
to_be_part_of,16,of,FALSE
to_check_out_the,16,the,FALSE
to_see_what_you,16,you,FALSE
to_tell_you_that,16,that,FALSE
trying_to_figure_out,16,out,FALSE
up_the_good_work,16,work,FALSE
what_to_do_with,16,with,FALSE
would_love_to_hear,16,hear,FALSE
a_couple_of_years,15,years,FALSE
a_few_of_the,15,the,FALSE
a_good_idea_to,15,to,FALSE
all_i_can_say,15,say,FALSE
be_able_to_get,15,get,FALSE
can't_wait_for_the,15,the,FALSE
can't_wait_to_hear,15,hear,FALSE
do_you_have_any,15,any,FALSE
for_all_of_us,15,us,FALSE
for_some_reason_i,15,i,FALSE
for_the_follow_i,15,i,FALSE
for_the_heads_up,15,up,FALSE
going_to_be_the,15,the,FALSE
have_to_do_is,15,is,FALSE
have_to_go_to,15,to,FALSE
have_to_worry_about,15,about,FALSE
i'll_let_you_know,15,know,FALSE
i_feel_like_i'm,15,i'm,FALSE
i_felt_like_i,15,i,FALSE
i_just_need_to,15,to,FALSE
i_think_it_is,15,is,FALSE
i_thought_i_would,15,would,FALSE
i_want_to_make,15,make,FALSE
if_there_is_a,15,a,FALSE
in_new_york_city,15,city,FALSE
in_the_long_run,15,run,FALSE
in_the_way_of,15,of,FALSE
is_supposed_to_be,15,be,FALSE
it's_been_a_long,15,long,FALSE
it_needs_to_be,15,be,FALSE
it_will_be_a,15,a,FALSE
once_in_a_while,15,while,FALSE
one_of_the_things,15,things,FALSE
please_follow_me_i,15,i,FALSE
s_o_to_my,15,my,FALSE
see_you_at_the,15,the,FALSE
something_to_do_with,15,with,FALSE
thank_you_very_much,15,much,FALSE
thanks_for_the_kind,15,kind,FALSE
that_i_need_to,15,to,FALSE
the_face_of_the,15,the,FALSE
the_shit_out_of,15,of,FALSE
there_is_no_way,15,way,FALSE
this_is_why_i,15,i,FALSE
time_of_the_year,15,year,FALSE
to_catch_up_on,15,on,FALSE
to_let_you_know,15,know,FALSE
to_make_sure_that,15,that,FALSE
to_see_you_guys,15,guys,FALSE
to_the_end_of,15,of,FALSE
wait_to_see_the,15,the,FALSE
a_couple_of_hours,14,hours,FALSE
a_few_days_ago,14,ago,FALSE
a_few_months_ago,14,ago,FALSE
a_friend_of_mine,14,mine,FALSE
a_look_at_the,14,the,FALSE
all_i_know_is,14,is,FALSE
am_i_the_only,14,only,FALSE
and_i_have_to,14,to,FALSE
as_long_as_they,14,they,FALSE
as_long_as_we,14,we,FALSE
as_part_of_a,14,a,FALSE
as_well_as_a,14,a,FALSE
at_the_university_of,14,of,FALSE
but_at_the_same,14,same,FALSE
but_i_have_a,14,a,FALSE
by_the_time_i,14,i,FALSE
day_to_all_the,14,the,FALSE
do_you_know_what,14,what,FALSE
figure_out_how_to,14,to,FALSE
for_a_few_hours,14,hours,FALSE
going_to_be_in,14,in,FALSE
how_have_you_been,14,been,FALSE
how_much_i_love,14,love,FALSE
i'm_not_going_to,14,to,FALSE
i_am_not_sure,14,sure,FALSE
i_decided_to_go,14,go,FALSE
i_have_to_take,14,take,FALSE
i_knew_i_had,14,had,FALSE
i_need_to_go,14,go,FALSE
if_i_had_a,14,a,FALSE
if_you_need_a,14,a,FALSE
if_you_would_like,14,like,FALSE
is_a_lot_of,14,of,FALSE
it_is_a_great,14,great,FALSE
it_is_going_to,14,to,FALSE
jeep_sioux_city_iowa,14,iowa,FALSE
keep_up_the_great,14,great,FALSE
let_me_tell_you,14,you,FALSE
let_us_know_what,14,what,FALSE
me_know_what_you,14,you,FALSE
might_be_able_to,14,to,FALSE
no_no_no_no,14,no,FALSE
not_being_able_to,14,to,FALSE
of_one_of_the,14,the,FALSE
ready_to_go_to,14,to,FALSE
take_advantage_of_the,14,the,FALSE
thanks_to_everyone_who,14,who,FALSE
the_jeep_sioux_city,14,city,FALSE
the_middle_of_a,14,a,FALSE
the_only_way_to,14,to,FALSE
the_other_day_and,14,and,FALSE
the_way_to_the,14,the,FALSE
the_word_of_god,14,god,FALSE
there_will_be_no,14,no,FALSE
to_hang_out_with,14,with,FALSE
to_see_if_i,14,i,FALSE
to_talk_to_me,14,me,FALSE
want_it_to_be,14,be,FALSE
we_need_to_get,14,get,FALSE
we_went_to_the,14,the,FALSE
why_is_it_that,14,that,FALSE
with_the_help_of,14,of,FALSE
you_for_the_rt,14,rt,FALSE
you_have_no_idea,14,idea,FALSE
you_need_to_get,14,get,FALSE
you_want_to_know,14,know,FALSE
a_couple_of_months,13,months,FALSE
a_lot_of_things,13,things,FALSE
all_over_the_place,13,place,FALSE
along_the_lines_of,13,of,FALSE
and_a_couple_of,13,of,FALSE
and_i_know_that,13,that,FALSE
and_one_of_the,13,the,FALSE
and_the_fact_that,13,that,FALSE
as_a_matter_of,13,of,FALSE
at_the_time_and,13,and,FALSE
be_the_first_to,13,to,FALSE
but_in_the_end,13,end,FALSE
despite_the_fact_that,13,that,FALSE
do_you_know_how,13,how,FALSE
don't_know_how_to,13,to,FALSE
for_the_follow_hope,13,hope,FALSE
happy_birthday_to_my,13,my,FALSE
has_a_lot_of,13,of,FALSE
have_to_say_i,13,i,FALSE
hope_everyone_has_a,13,a,FALSE
hope_you_all_had,13,had,FALSE
hour_and_a_half,13,half,FALSE
i_can_think_of,13,of,FALSE
i_had_to_do,13,do,FALSE
i_hate_it_when,13,when,FALSE
i_have_to_be,13,be,FALSE
i_have_to_do,13,do,FALSE
i_hope_you_have,13,have,FALSE
i_just_have_to,13,to,FALSE
i_really_need_to,13,to,FALSE
i_think_i_have,13,have,FALSE
if_i_had_to,13,to,FALSE
if_you_don't_want,13,want,FALSE
in_the_right_direction,13,direction,FALSE
is_what_it_is,13,is,FALSE
it_is_not_the,13,the,FALSE
it_was_going_to,13,to,FALSE
it_was_great_to,13,to,FALSE
it_was_the_first,13,first,FALSE
just_wanted_to_say,13,say,FALSE
may_or_may_not,13,not,FALSE
me_know_if_you,13,you,FALSE
middle_of_the_night,13,night,FALSE
not_a_fan_of,13,of,FALSE
on_the_way_home,13,home,FALSE
one_of_the_first,13,first,FALSE
over_the_past_few,13,few,FALSE
so_i_decided_to,13,to,FALSE
so_i_had_to,13,to,FALSE
so_much_to_do,13,do,FALSE
sure_to_check_out,13,out,FALSE
thank_you_for_all,13,all,FALSE
thanks_for_the_love,13,love,FALSE
the_fact_that_you,13,you,FALSE
the_last_couple_of,13,of,FALSE
the_last_time_i,13,i,FALSE
there_has_been_a,13,a,FALSE
there_is_a_lot,13,lot,FALSE
this_is_the_first,13,first,FALSE
to_be_back_in,13,in,FALSE
to_come_up_with,13,with,FALSE
to_find_a_way,13,way,FALSE
to_hear_from_you,13,you,FALSE
to_keep_track_of,13,of,FALSE
to_learn_more_about,13,about,FALSE
to_see_you_there,13,there,FALSE
to_talk_to_you,13,you,FALSE
up_and_down_the,13,the,FALSE
vegas_vegas_vegas_vegas,13,vegas,FALSE
was_so_much_fun,13,fun,FALSE
what_was_going_on,13,on,FALSE
wish_i_could_be,13,be,FALSE
won't_be_able_to,13,to,FALSE
you_all_had_a,13,a,FALSE
you_and_your_family,13,family,FALSE
you_are_the_best,13,best,FALSE
you_can_see_the,13,the,FALSE
you_might_want_to,13,to,FALSE
a_cup_of_tea,12,tea,FALSE
a_fan_of_the,12,the,FALSE
a_few_of_my,12,my,FALSE
a_great_time_at,12,at,FALSE
a_lot_of_work,12,work,FALSE
all_the_way_to,12,to,FALSE
amazon_services_llc_and,12,and,FALSE
and_a_lot_of,12,of,FALSE
and_i_have_a,12,a,FALSE
anything_to_do_with,12,with,FALSE
as_long_as_it,12,it,FALSE
as_soon_as_possible,12,possible,FALSE
at_the_time_i,12,i,FALSE
at_the_time_of,12,of,FALSE
be_able_to_see,12,see,FALSE
be_one_of_the,12,the,FALSE
been_a_long_time,12,time,FALSE
but_i'm_not_sure,12,sure,FALSE
by_the_fact_that,12,that,FALSE
day_of_the_week,12,week,FALSE
did_not_want_to,12,to,FALSE
do_not_have_a,12,a,FALSE
do_not_want_to,12,to,FALSE
early_in_the_morning,12,morning,FALSE
end_of_the_year,12,year,FALSE
for_the_next_few,12,few,FALSE
glad_to_hear_it,12,it,FALSE
have_a_great_time,12,time,FALSE
have_a_great_week,12,week,FALSE
have_nothing_to_do,12,do,FALSE
have_to_do_it,12,it,FALSE
he_was_going_to,12,to,FALSE
hope_everyone_had_a,12,a,FALSE
hope_you_are_having,12,having,FALSE
i_am_in_the,12,the,FALSE
i_am_so_excited,12,excited,FALSE
i_don't_care_what,12,what,FALSE
i_have_a_lot,12,lot,FALSE
i_have_decided_to,12,to,FALSE
i_just_had_to,12,to,FALSE
i_know_i_know,12,know,FALSE
i_know_this_is,12,is,FALSE
i_like_to_think,12,think,FALSE
i_love_the_way,12,way,FALSE
i_think_i_can,12,can,FALSE
i_think_this_is,12,is,FALSE
i_want_to_know,12,know,FALSE
if_you'd_like_to,12,to,FALSE
if_you_want_a,12,a,FALSE
in_and_out_of,12,of,FALSE
in_order_to_get,12,get,FALSE
in_the_end_i,12,i,FALSE
in_the_name_of,12,of,FALSE
in_the_next_few,12,few,FALSE
in_the_same_way,12,way,FALSE
is_going_to_get,12,get,FALSE
it_is_important_to,12,to,FALSE
it_was_time_to,12,to,FALSE
its_going_to_be,12,be,FALSE
know_what_that_means,12,means,FALSE
know_who_you_are,12,are,FALSE
let_you_know_when,12,when,FALSE
look_forward_to_your,12,your,FALSE
made_it_to_the,12,the,FALSE
on_the_back_of,12,of,FALSE
one_of_the_greatest,12,greatest,FALSE
other_side_of_the,12,the,FALSE
over_the_course_of,12,of,FALSE
thank_you_for_sharing,12,sharing,FALSE
thank_you_to_the,12,the,FALSE
that_i_had_to,12,to,FALSE
that_i_wanted_to,12,to,FALSE
that_moment_when_you,12,you,FALSE
the_best_part_of,12,of,FALSE
the_center_of_the,12,the,FALSE
the_front_of_the,12,the,FALSE
the_hell_out_of,12,of,FALSE
the_last_few_years,12,years,FALSE
the_next_few_days,12,days,FALSE
the_only_thing_i,12,i,FALSE
the_problem_is_that,12,that,FALSE
to_all_of_our,12,our,FALSE
to_see_you_at,12,at,FALSE
to_sign_up_for,12,for,FALSE
to_the_point_of,12,of,FALSE
two_and_a_half,12,half,FALSE
up_in_the_morning,12,morning,FALSE
up_the_great_work,12,work,FALSE
wanted_to_be_a,12,a,FALSE
when_i_was_in,12,in,FALSE
when_you_have_a,12,a,FALSE
will_let_you_know,12,know,FALSE
wish_i_had_a,12,a,FALSE
with_the_exception_of,12,of,FALSE
would_have_to_be,12,be,FALSE
you_are_having_a,12,a,FALSE
you_are_looking_for,12,for,FALSE
you_can_do_it,12,it,FALSE
you_can_make_it,12,it,FALSE
you_don’t_have_to,12,to,FALSE
you_please_follow_me,12,me,FALSE
a_huge_fan_of,11,of,FALSE
a_little_bit_more,11,more,FALSE
and_i_feel_like,11,like,FALSE
and_thank_you_for,11,for,FALSE
and_the_rest_of,11,of,FALSE
and_there_is_a,11,a,FALSE
are_you_trying_to,11,to,FALSE
at_a_time_when,11,when,FALSE
at_the_very_least,11,least,FALSE
been_a_while_since,11,since,FALSE
before_the_end_of,11,of,FALSE
blah_blah_blah_blah,11,blah,FALSE
but_i_don't_know,11,know,FALSE
but_i_feel_like,11,like,FALSE
cant_wait_to_see,11,see,FALSE
dancing_with_the_stars,11,stars,FALSE
do_i_need_to,11,to,FALSE
do_you_think_of,11,of,FALSE
don't_get_me_wrong,11,wrong,FALSE
for_a_few_months,11,months,FALSE
for_a_little_bit,11,bit,FALSE
for_a_while_and,11,and,FALSE
for_you_and_your,11,your,FALSE
go_back_to_the,11,the,FALSE
going_to_be_an,11,an,FALSE
good_news_is_that,11,that,FALSE
good_to_see_you,11,you,FALSE
have_a_problem_with,11,with,FALSE
have_to_be_a,11,a,FALSE
have_to_say_that,11,that,FALSE
i'm_going_to_have,11,have,FALSE
i'm_going_to_try,11,try,FALSE
i'm_not_sure_what,11,what,FALSE
i_am_thankful_for,11,for,FALSE
i_came_up_with,11,with,FALSE
i_can't_help_but,11,but,FALSE
i_can_say_is,11,is,FALSE
i_got_a_new,11,new,FALSE
i_grew_up_in,11,in,FALSE
i_hate_when_people,11,people,FALSE
i_have_come_to,11,to,FALSE
i_just_finished_a,11,a,FALSE
i_love_you_and,11,and,FALSE
i_think_i_am,11,am,FALSE
i_used_to_be,11,be,FALSE
i_wanted_to_do,11,do,FALSE
i_was_a_kid,11,kid,FALSE
in_a_few_days,11,days,FALSE
in_a_good_mood,11,mood,FALSE
in_front_of_him,11,him,FALSE
in_order_to_make,11,make,FALSE
in_the_back_of,11,of,FALSE
in_the_history_of,11,of,FALSE
in_the_mood_for,11,for,FALSE
it_was_a_good,11,good,FALSE
it_would_be_nice,11,nice,FALSE
keep_an_eye_on,11,on,FALSE
know_what_it_is,11,is,FALSE
let_me_know_how,11,how,FALSE
look_forward_to_seeing,11,seeing,FALSE
look_look_look_look,11,look,FALSE
love_to_see_you,11,you,FALSE
need_to_get_out,11,out,FALSE
never_be_able_to,11,to,FALSE
no_such_thing_as,11,as,FALSE
of_the_things_i,11,i,FALSE
on_the_edge_of,11,of,FALSE
once_upon_a_time,11,time,FALSE
one_of_my_favorites,11,favorites,FALSE
rest_of_the_day,11,day,FALSE
rest_of_the_world,11,world,FALSE
seems_to_be_a,11,a,FALSE
so_excited_to_see,11,see,FALSE
so_proud_of_you,11,you,FALSE
so_that_you_can,11,can,FALSE
tell_me_what_you,11,you,FALSE
thank_you_for_being,11,being,FALSE
thanks_for_the_heads,11,heads,FALSE
thanks_for_the_rts,11,rts,FALSE
thanks_for_the_support,11,support,FALSE
that_i_have_a,11,a,FALSE
that_it_was_a,11,a,FALSE
the_edge_of_the,11,the,FALSE
the_end_of_a,11,a,FALSE
the_fact_that_he,11,he,FALSE
the_fact_that_they,11,they,FALSE
the_fact_that_we,11,we,FALSE
the_last_few_days,11,days,FALSE
the_next_few_weeks,11,weeks,FALSE
the_past_few_days,11,days,FALSE
the_past_few_months,11,months,FALSE
the_same_time_i,11,i,FALSE
the_sides_of_the,11,the,FALSE
the_top_of_my,11,my,FALSE
the_ways_in_which,11,which,FALSE
there_is_only_one,11,one,FALSE
thought_it_was_a,11,a,FALSE
time_and_time_again,11,again,FALSE
to_be_a_great,11,great,FALSE
to_check_it_out,11,out,FALSE
to_figure_out_how,11,how,FALSE
to_find_out_what,11,what,FALSE
to_get_into_the,11,the,FALSE
to_get_to_work,11,work,FALSE
to_go_to_bed,11,bed,FALSE
to_keep_up_with,11,with,FALSE
to_say_that_i,11,i,FALSE
to_say_the_least,11,least,FALSE
to_see_what_the,11,the,FALSE
to_see_you_in,11,in,FALSE
to_the_fact_that,11,that,FALSE
to_the_point_where,11,where,FALSE
took_the_time_to,11,to,FALSE
wait_to_see_it,11,it,FALSE
want_to_do_is,11,is,FALSE
want_to_talk_to,11,to,FALSE
was_one_of_those,11,those,FALSE
we_have_a_lot,11,lot,FALSE
we_need_to_be,11,be,FALSE
what_is_going_on,11,on,FALSE
when_i_get_home,11,home,FALSE
will_not_be_able,11,able,FALSE
with_a_lot_of,11,of,FALSE
would_have_been_a,11,a,FALSE
would_like_to_be,11,be,FALSE
would_love_to_have,11,have,FALSE
you_going_to_be,11,be,FALSE
you_guys_are_awesome,11,awesome,FALSE
you_just_have_to,11,to,FALSE
you_to_all_of,11,of,FALSE
