unigram,uni_count,obscenity
yeah,726,FALSE
friend,723,FALSE
hear,723,FALSE
job,721,FALSE
together,719,FALSE
talk,715,FALSE
ready,713,FALSE
high,710,FALSE
gonna,709,FALSE
point,706,FALSE
s,706,FALSE
between,705,FALSE
mean,702,FALSE
run,701,FALSE
w,700,FALSE
cool,699,FALSE
far,699,FALSE
saw,692,FALSE
set,692,FALSE
watch,692,FALSE
>,690,FALSE
wish,689,FALSE
called,687,FALSE
room,686,FALSE
wanted,683,FALSE
beautiful,676,FALSE
remember,672,FALSE
says,671,FALSE
told,669,FALSE
party,667,FALSE
took,664,FALSE
mind,660,FALSE
heart,659,FALSE
idea,659,FALSE
favorite,653,FALSE
friday,652,FALSE
whole,650,FALSE
hate,648,FALSE
we're,647,FALSE
kind,646,FALSE
true,646,FALSE
team,644,FALSE
during,642,FALSE
he's,642,FALSE
hours,637,FALSE
top,637,FALSE
white,632,FALSE
least,630,FALSE
able,628,FALSE
change,625,FALSE
birthday,618,FALSE
later,611,FALSE
almost,607,FALSE
early,607,FALSE
open,603,FALSE
looks,600,FALSE
probably,600,FALSE
sometimes,600,FALSE
news,599,FALSE
seen,599,FALSE
using,598,FALSE
state,597,FALSE
doesn't,592,FALSE
ago,591,FALSE
else,591,FALSE
shit,590,TRUE
words,587,FALSE
minutes,586,FALSE
word,584,FALSE
win,582,FALSE
black,580,FALSE
class,580,FALSE
less,578,FALSE
full,577,FALSE
writing,575,FALSE
movie,574,FALSE
following,573,FALSE
small,572,FALSE
finally,571,FALSE
hit,569,FALSE
ok,569,FALSE
enjoy,567,FALSE
forward,566,FALSE
business,565,FALSE
care,564,FALSE
guy,564,FALSE
past,563,FALSE
excited,562,FALSE
second,562,FALSE
tweet,562,FALSE
ask,560,FALSE
against,559,FALSE
thinking,559,FALSE
sorry,558,FALSE
stay,558,FALSE
stuff,556,FALSE
reading,554,FALSE
fact,553,FALSE
face,552,FALSE
under,552,FALSE
summer,550,FALSE
guess,544,FALSE
support,544,FALSE
30,543,FALSE
others,543,FALSE
season,541,FALSE
month,540,FALSE
side,540,FALSE
quite,539,FALSE
sleep,539,FALSE
water,539,FALSE
comes,538,FALSE
children,537,FALSE
glad,536,FALSE
feeling,534,FALSE
taking,534,FALSE
baby,532,FALSE
playing,532,FALSE
add,528,FALSE
song,528,FALSE
weeks,528,FALSE
along,526,FALSE
hand,525,FALSE
i'd,522,FALSE
phone,522,FALSE
hot,520,FALSE
7,519,FALSE
6,518,FALSE
moment,516,FALSE
red,515,FALSE
however,511,FALSE
mom,511,FALSE
couple,510,FALSE
often,508,FALSE
+,506,FALSE
beer,504,FALSE
car,502,FALSE
needs,500,FALSE
8,497,FALSE
wrong,497,FALSE
asked,496,FALSE
there's,496,FALSE
what's,494,FALSE
instead,491,FALSE
become,487,FALSE
leave,487,FALSE
turn,487,FALSE
problem,481,FALSE
books,479,FALSE
bring,479,FALSE
cut,479,FALSE
line,478,FALSE
talking,478,FALSE
number,477,FALSE
seems,477,FALSE
heard,476,FALSE
lost,475,FALSE
means,474,FALSE
question,473,FALSE
share,473,FALSE
welcome,473,FALSE
goes,472,FALSE
months,472,FALSE
women,472,FALSE
yourself,472,FALSE
young,471,FALSE
meet,470,FALSE
perfect,470,FALSE
either,469,FALSE
~,469,FALSE
sweet,467,FALSE
social,466,FALSE
eat,465,FALSE
case,464,FALSE
ya,464,FALSE
men,463,FALSE
reason,463,FALSE
let's,460,FALSE
half,459,FALSE
power,458,FALSE
late,457,FALSE
video,457,FALSE
buy,455,FALSE
knew,455,FALSE
gets,454,FALSE
rather,453,FALSE
=,451,FALSE
experience,451,FALSE
funny,451,FALSE
group,451,FALSE
learn,450,FALSE
write,450,FALSE
bed,449,FALSE
close,448,FALSE
easy,448,FALSE
saying,448,FALSE
decided,447,FALSE
girls,447,FALSE
special,444,FALSE
loved,442,FALSE
art,440,FALSE
local,438,FALSE
behind,436,FALSE
wow,436,FALSE
hour,435,FALSE
light,434,FALSE
film,431,FALSE
isn't,431,FALSE
move,431,FALSE
plan,429,FALSE
short,429,FALSE
wonderful,429,FALSE
felt,428,FALSE
important,427,FALSE
eyes,426,FALSE
rest,426,FALSE
list,424,FALSE
crazy,423,FALSE
ur,423,FALSE
o,422,FALSE
sounds,422,FALSE
card,421,FALSE
they're,418,FALSE
ass,417,TRUE
body,417,FALSE
running,416,FALSE
i’ve,415,FALSE
public,414,FALSE
send,414,FALSE
cause,413,FALSE
matter,412,FALSE
order,412,FALSE
event,411,FALSE
deal,410,FALSE
haven't,410,FALSE
living,409,FALSE
boy,407,FALSE
2012,403,FALSE
students,402,FALSE
saturday,401,FALSE
paper,400,FALSE
picture,400,FALSE
interesting,399,FALSE
ones,398,FALSE
four,397,FALSE
rock,397,FALSE
future,395,FALSE
american,394,FALSE
outside,394,FALSE
wanna,394,FALSE
especially,393,FALSE
seeing,393,FALSE
20,392,FALSE
didn’t,392,FALSE
email,391,FALSE
christmas,388,FALSE
fuck,388,TRUE
walk,388,FALSE
woman,388,FALSE
front,387,FALSE
hell,387,TRUE
dont,386,FALSE
project,386,FALSE
wants,386,FALSE
child,385,FALSE
tried,384,FALSE
john,381,FALSE
country,379,FALSE
facebook,379,FALSE
won't,379,FALSE
11,378,FALSE
waiting,378,FALSE
okay,377,FALSE
several,376,FALSE
fall,375,FALSE
given,375,FALSE
sunday,375,FALSE
mother,374,FALSE
understand,374,FALSE
visit,374,FALSE
dinner,373,FALSE
9,372,FALSE
break,372,FALSE
definitely,372,FALSE
needed,372,FALSE
yesterday,372,FALSE
green,371,FALSE
chance,370,FALSE
pay,370,FALSE
spring,370,FALSE
ha,369,FALSE
parents,369,FALSE
media,368,FALSE
series,368,FALSE
that’s,368,FALSE
12,367,FALSE
damn,366,TRUE
online,366,FALSE
store,366,FALSE
n,365,FALSE
hair,363,FALSE
huge,363,FALSE
lives,363,FALSE
across,362,FALSE
monday,362,FALSE
lunch,361,FALSE
worth,361,FALSE
games,360,FALSE
happen,360,FALSE
although,359,FALSE
coffee,359,FALSE
gone,359,FALSE
area,358,FALSE
mr,358,FALSE
super,358,FALSE
company,356,FALSE
history,356,FALSE
lots,356,FALSE
starting,356,FALSE
b,355,FALSE
gotta,355,FALSE
meeting,354,FALSE
sound,352,FALSE
national,351,FALSE
possible,351,FALSE
cute,350,FALSE
r,349,FALSE
she's,349,FALSE
hi,348,FALSE
listening,346,FALSE
page,345,FALSE
wonder,345,FALSE
gave,344,FALSE
wasn't,344,FALSE
office,343,FALSE
works,343,FALSE
looked,341,FALSE
single,341,FALSE
son,341,FALSE
town,341,FALSE
dog,338,FALSE
omg,338,FALSE
sense,337,FALSE
jesus,336,TRUE
pick,336,FALSE
tv,336,FALSE
forget,334,FALSE
simple,334,FALSE
voice,334,FALSE
church,333,FALSE
college,333,FALSE
service,333,FALSE
luck,332,FALSE
weather,331,FALSE
within,331,FALSE
happened,330,FALSE
inside,330,FALSE
p,330,FALSE
perhaps,330,FALSE
15,329,FALSE
busy,329,FALSE
challenge,329,FALSE
fan,329,FALSE
including,329,FALSE
available,328,FALSE
five,328,FALSE
law,328,FALSE
taken,328,FALSE
information,327,FALSE
congrats,326,FALSE
death,326,FALSE
giving,326,FALSE
sad,326,FALSE
street,326,FALSE
park,325,FALSE
c,324,FALSE
space,324,FALSE
takes,324,FALSE
trip,323,FALSE
totally,321,FALSE
mine,320,FALSE
agree,319,FALSE
followers,319,FALSE
site,319,FALSE
government,317,FALSE
large,317,FALSE
text,317,FALSE
longer,314,FALSE
knows,313,FALSE
simply,312,FALSE
seriously,311,FALSE
usually,311,FALSE
air,310,FALSE
cold,309,FALSE
dead,309,FALSE
hold,309,FALSE
community,308,FALSE
human,308,FALSE
fans,307,FALSE
listen,307,FALSE
seem,306,FALSE
anyway,305,FALSE
exactly,305,FALSE
hands,305,FALSE
band,304,FALSE
can’t,304,FALSE
drive,303,FALSE
finished,303,FALSE
we'll,303,FALSE
etc,302,FALSE
ways,302,FALSE
cover,300,FALSE
fine,300,FALSE
wife,300,FALSE
create,299,FALSE
join,299,FALSE
you'll,299,FALSE
turned,298,FALSE
dream,296,FALSE
known,296,FALSE
pictures,296,FALSE
middle,293,FALSE
blue,292,FALSE
character,291,FALSE
cannot,290,FALSE
door,290,FALSE
market,290,FALSE
road,290,FALSE
spent,290,FALSE
whatever,290,FALSE
control,289,FALSE
la,289,FALSE
personal,289,FALSE
100,288,FALSE
eating,288,FALSE
process,288,FALSE
above,287,FALSE
color,287,FALSE
fucking,287,TRUE
answer,286,FALSE
sun,286,FALSE
police,285,FALSE
stand,285,FALSE
act,284,FALSE
due,284,FALSE
program,283,FALSE
himself,281,FALSE
million,281,FALSE
dark,280,FALSE
met,280,FALSE
record,280,FALSE
whether,280,FALSE
dad,279,FALSE
design,279,FALSE
st,279,FALSE
club,278,FALSE
lovely,278,FALSE
fast,277,FALSE
sitting,277,FALSE
written,277,FALSE
health,276,FALSE
save,276,FALSE
tired,276,FALSE
added,275,FALSE
couldn't,275,FALSE
learning,275,FALSE
piece,274,FALSE
alone,273,FALSE
april,273,FALSE
finish,273,FALSE
missed,273,FALSE
rain,273,FALSE
war,273,FALSE
final,272,FALSE
president,272,FALSE
dance,271,FALSE
lady,271,FALSE
shows,271,FALSE
system,271,FALSE
you’re,271,FALSE
sent,270,FALSE
center,269,FALSE
fight,269,FALSE
kid,269,FALSE
account,268,FALSE
doesn’t,268,FALSE
stories,268,FALSE
website,268,FALSE
york,268,FALSE
bitch,267,TRUE
moving,267,FALSE
near,267,FALSE
tweets,267,FALSE
bar,266,FALSE
lord,266,FALSE
issue,265,FALSE
wear,265,FALSE
clear,264,FALSE
drink,263,FALSE
questions,263,FALSE
date,262,FALSE
photo,262,FALSE
according,261,FALSE
box,261,FALSE
building,261,FALSE
sick,261,FALSE
success,261,FALSE
deep,260,FALSE
mention,260,FALSE
pain,260,FALSE
south,260,FALSE
cant,259,FALSE
learned,259,FALSE
level,259,FALSE
track,259,FALSE
boys,258,FALSE
completely,258,FALSE
energy,258,FALSE
ideas,258,FALSE
smile,258,FALSE
thursday,258,FALSE
truth,257,FALSE
tuesday,257,FALSE
brought,256,FALSE
dude,256,FALSE
stupid,256,FALSE
fire,255,FALSE
age,254,FALSE
ball,254,FALSE
example,254,FALSE
note,254,FALSE
proud,254,FALSE
safe,254,FALSE
sign,253,FALSE
based,251,FALSE
chicago,251,FALSE
details,251,FALSE
feels,251,FALSE
form,251,FALSE
step,251,FALSE
thoughts,251,FALSE
worked,251,FALSE
bought,250,FALSE
eye,250,FALSE
sister,250,FALSE
speak,250,FALSE
spend,250,FALSE
wine,250,FALSE
absolutely,249,FALSE
brown,249,FALSE
entire,249,FALSE
brother,248,FALSE
chocolate,248,FALSE
played,248,FALSE
strong,248,FALSE
issues,247,FALSE
themselves,247,FALSE
type,247,FALSE
choice,246,FALSE
clean,246,FALSE
album,245,FALSE
choose,245,FALSE
continue,245,FALSE
lead,245,FALSE
loves,245,FALSE
evening,244,FALSE
2011,243,FALSE
quick,243,FALSE
action,242,FALSE
plus,242,FALSE
figure,241,FALSE
shot,241,FALSE
till,241,FALSE
appreciate,240,FALSE
gift,240,FALSE
happens,240,FALSE
problems,240,FALSE
round,240,FALSE
tickets,240,FALSE
father,239,FALSE
attention,238,FALSE
test,238,FALSE
50,237,FALSE
followed,237,FALSE
wearing,237,FALSE
cup,236,FALSE
i’d,236,FALSE
major,236,FALSE
fresh,235,FALSE
kept,235,FALSE
per,235,FALSE
beat,234,FALSE
chicken,234,FALSE
march,234,FALSE
truly,234,FALSE
article,233,FALSE
catch,233,FALSE
earth,233,FALSE
fair,233,FALSE
focus,233,FALSE
relationship,233,FALSE
style,232,FALSE
wall,232,FALSE
cake,231,FALSE
daughter,231,FALSE
lose,231,FALSE
sit,231,FALSE
u.s,231,FALSE
warm,231,FALSE
wouldn't,231,FALSE
interested,230,FALSE
low,230,FALSE
photos,230,FALSE
third,230,FALSE
you've,230,FALSE
bro,229,FALSE
die,229,FALSE
heat,229,FALSE
link,229,FALSE
main,229,FALSE
upon,229,FALSE
changed,228,FALSE
ice,228,FALSE
lucky,228,FALSE
mad,228,FALSE
west,228,FALSE
complete,227,FALSE
recently,227,FALSE
trust,227,FALSE
won,227,FALSE
1st,226,FALSE
dear,226,FALSE
enjoyed,226,FALSE
fear,226,FALSE
internet,226,FALSE
north,226,FALSE
university,226,FALSE
obama,225,FALSE
certain,224,FALSE
court,224,FALSE
forever,224,FALSE
goal,224,FALSE
m,224,FALSE
america,223,FALSE
conference,223,FALSE
lmao,223,FALSE
loving,223,FALSE
pass,223,FALSE
cream,222,FALSE
general,222,FALSE
hello,222,FALSE
mark,222,FALSE
began,221,FALSE
computer,221,FALSE
meant,221,FALSE
star,221,FALSE
beginning,220,FALSE
husband,220,FALSE
liked,220,FALSE
race,220,FALSE
watched,220,FALSE
begin,219,FALSE
daily,219,FALSE
feet,219,FALSE
field,219,FALSE
floor,219,FALSE
members,219,FALSE
received,219,FALSE
return,219,FALSE
sort,219,FALSE
further,218,FALSE
hopefully,218,FALSE
places,218,FALSE
plans,218,FALSE
bag,217,FALSE
leaving,217,FALSE
present,217,FALSE
starts,217,FALSE
weird,217,FALSE
involved,216,FALSE
mix,216,FALSE
shop,216,FALSE
below,215,FALSE
difficult,215,FALSE
offer,215,FALSE
peace,215,FALSE
via,215,FALSE
ah,214,FALSE
poor,214,FALSE
realize,214,FALSE
afternoon,213,FALSE
fit,213,FALSE
opening,213,FALSE
songs,213,FALSE
walking,213,FALSE
cost,212,FALSE
created,212,FALSE
events,212,FALSE
imagine,212,FALSE
minute,212,FALSE
price,212,FALSE
view,212,FALSE
wrote,212,FALSE
breakfast,211,FALSE
original,211,FALSE
supposed,211,FALSE
telling,211,FALSE
extra,210,FALSE
key,210,FALSE
message,210,FALSE
movies,210,FALSE
opportunity,210,FALSE
tour,210,FALSE
version,210,FALSE
dr,209,FALSE
except,209,FALSE
google,209,FALSE
sharing,209,FALSE
we've,209,FALSE
points,208,FALSE
snow,208,FALSE
posted,207,FALSE
research,207,FALSE
san,207,FALSE
became,206,FALSE
missing,206,FALSE
shoes,206,FALSE
six,206,FALSE
straight,206,FALSE
touch,206,FALSE
anymore,205,FALSE
contact,205,FALSE
education,205,FALSE
yea,205,FALSE
hurt,204,FALSE
serious,204,FALSE
study,204,FALSE
bill,203,FALSE
bowl,203,FALSE
cards,203,FALSE
characters,203,FALSE
self,203,FALSE
states,203,FALSE
table,203,FALSE
wednesday,203,FALSE
hahaha,202,FALSE
interest,202,FALSE
kill,202,FALSE
there’s,202,FALSE
radio,201,FALSE
english,200,FALSE
faith,200,FALSE
info,200,FALSE
interview,200,FALSE
sugar,200,FALSE
asking,199,FALSE
grow,199,FALSE
t,199,FALSE
folks,198,FALSE
itself,198,FALSE
sat,198,FALSE
thats,198,FALSE
aren't,197,FALSE
bout,197,FALSE
gives,197,FALSE
he’s,197,FALSE
library,197,FALSE
practice,197,FALSE
result,197,FALSE
worst,197,FALSE
among,196,FALSE
board,196,FALSE
stage,196,FALSE
certainly,195,FALSE
dress,195,FALSE
growing,195,FALSE
image,195,FALSE
release,195,FALSE
review,195,FALSE
tree,195,FALSE
apparently,194,FALSE
comment,194,FALSE
june,194,FALSE
passed,194,FALSE
political,194,FALSE
shopping,194,FALSE
ahead,193,FALSE
beach,193,FALSE
nearly,193,FALSE
sex,193,TRUE
wasn’t,193,FALSE
winter,193,FALSE
brain,192,FALSE
career,192,FALSE
cat,192,FALSE
ground,192,FALSE
holiday,192,FALSE
holy,192,FALSE
isn’t,192,FALSE
moved,192,FALSE
press,192,FALSE
putting,192,FALSE
recipe,192,FALSE
^,191,FALSE
died,191,FALSE
hoping,191,FALSE
laugh,191,FALSE
lets,191,FALSE
oil,191,FALSE
onto,191,FALSE
beyond,190,FALSE
bottom,190,FALSE
heading,190,FALSE
i’ll,190,FALSE
planning,190,FALSE
situation,190,FALSE
training,190,FALSE
unless,190,FALSE
2010,189,FALSE
driving,189,FALSE
expect,189,FALSE
quickly,189,FALSE
likely,188,FALSE
sale,188,FALSE
taste,188,FALSE
blood,187,FALSE
football,187,FALSE
kitchen,187,FALSE
novel,187,FALSE
worry,187,FALSE
yo,187,FALSE
14,186,FALSE
jobs,186,FALSE
king,186,FALSE
shout,186,FALSE
vote,186,FALSE
app,185,FALSE
cheese,185,FALSE
difference,185,FALSE
ill,185,FALSE
similar,185,FALSE
common,184,FALSE
garden,184,FALSE
student,184,FALSE
teacher,184,FALSE
x,184,FALSE
born,183,FALSE
coach,183,FALSE
currently,183,FALSE
earlier,183,FALSE
services,183,FALSE
session,183,FALSE
spot,183,FALSE
train,183,FALSE
wedding,183,FALSE
25,182,FALSE
despite,182,FALSE
paid,182,FALSE
picked,182,FALSE
players,182,FALSE
sports,182,FALSE
title,182,FALSE
held,181,FALSE
pop,181,FALSE
projects,181,FALSE
recent,181,FALSE
report,181,FALSE
tea,181,FALSE
ugh,181,FALSE
who's,181,FALSE
county,180,FALSE
doubt,180,FALSE
realized,180,FALSE
society,180,FALSE
yay,180,FALSE
allow,179,FALSE
amount,179,FALSE
bus,179,FALSE
current,179,FALSE
james,179,FALSE
player,179,FALSE
ride,179,FALSE
author,178,FALSE
david,178,FALSE
pizza,178,FALSE
soul,178,FALSE
dreams,177,FALSE
french,177,FALSE
international,177,FALSE
quality,177,FALSE
shall,177,FALSE
caught,176,FALSE
content,176,FALSE
everybody,176,FALSE
sell,176,FALSE
worse,176,FALSE
40,175,FALSE
consider,175,FALSE
miles,175,FALSE
natural,175,FALSE
butter,174,FALSE
de,174,FALSE
loss,174,FALSE
particular,174,FALSE
ran,174,FALSE
throw,174,FALSE
beauty,173,FALSE
delicious,173,FALSE
reality,173,FALSE
seemed,173,FALSE
trouble,173,FALSE
wake,173,FALSE
broken,172,FALSE
decision,172,FALSE
former,172,FALSE
indeed,172,FALSE
keeping,172,FALSE
science,172,FALSE
staff,172,FALSE
drop,171,FALSE
lack,171,FALSE
period,171,FALSE
slow,171,FALSE
spending,171,FALSE
ten,171,FALSE
18,170,FALSE
24,170,FALSE
notice,170,FALSE
paul,170,FALSE
position,170,FALSE
positive,170,FALSE
reasons,170,FALSE
size,170,FALSE
speaking,170,FALSE
♥,170,FALSE
13,169,FALSE
exciting,169,FALSE
glass,169,FALSE
helping,169,FALSE
private,169,FALSE
products,169,FALSE
role,169,FALSE
secret,169,FALSE
throughout,169,FALSE
winner,169,FALSE
16,168,FALSE
fat,168,FALSE
scene,168,FALSE
walked,168,FALSE
advice,167,FALSE
fantastic,167,FALSE
hang,167,FALSE
hearing,167,FALSE
pink,167,FALSE
access,166,FALSE
comments,166,FALSE
da,166,FALSE
drinking,166,FALSE
kinda,166,FALSE
likes,166,FALSE
shoot,166,FALSE
austin,165,FALSE
changes,165,FALSE
cuz,165,FALSE
excellent,165,FALSE
financial,165,FALSE
ladies,165,FALSE
popular,165,FALSE
base,164,FALSE
posts,164,FALSE
respect,164,FALSE
results,164,FALSE
studio,164,FALSE
clothes,163,FALSE
force,163,FALSE
healthy,163,FALSE
pieces,163,FALSE
towards,163,FALSE
classic,162,FALSE
cry,162,FALSE
dc,162,FALSE
dm,162,FALSE
ended,162,FALSE
joy,162,FALSE
knowing,162,FALSE
stopped,162,FALSE
texas,162,FALSE
travel,162,FALSE
vs,162,FALSE
bet,161,FALSE
christ,161,TRUE
milk,161,FALSE
nature,161,FALSE
spread,161,FALSE
tough,161,FALSE
culture,160,FALSE
gay,160,FALSE
include,160,FALSE
member,160,FALSE
percent,160,FALSE
product,160,FALSE
total,160,FALSE
address,159,FALSE
calls,159,FALSE
creative,159,FALSE
letter,159,FALSE
rich,159,FALSE
singing,159,FALSE
value,159,FALSE
web,159,FALSE
biggest,158,FALSE
easter,158,FALSE
here's,158,FALSE
language,158,FALSE
shirt,158,FALSE
showing,158,FALSE
thx,158,FALSE
cook,157,FALSE
double,157,FALSE
easier,157,FALSE
finding,157,FALSE
forgot,157,FALSE
mouth,157,FALSE
united,157,FALSE
weight,157,FALSE
clearly,156,FALSE
hotel,156,FALSE
pm,156,FALSE
smart,156,FALSE
whose,156,FALSE
brand,155,FALSE
build,155,FALSE
hospital,155,FALSE
knowledge,155,FALSE
receive,155,FALSE
somewhere,155,FALSE
spirit,155,FALSE
technology,155,FALSE
concert,154,FALSE
count,154,FALSE
em,154,FALSE
gorgeous,154,FALSE
july,154,FALSE
names,154,FALSE
numbers,154,FALSE
performance,154,FALSE
pic,154,FALSE
roll,154,FALSE
shut,154,FALSE
skin,154,FALSE
surprised,154,FALSE
east,153,FALSE
happening,153,FALSE
land,153,FALSE
normal,153,FALSE
random,153,FALSE
update,153,FALSE
data,152,FALSE
ends,152,FALSE
skills,152,FALSE
successful,152,FALSE
calling,151,FALSE
enjoying,151,FALSE
older,151,FALSE
released,151,FALSE
security,151,FALSE
bored,150,FALSE
broke,150,FALSE
celebrate,150,FALSE
conversation,150,FALSE
eventually,150,FALSE
moments,150,FALSE
station,150,FALSE
tells,150,FALSE
mostly,149,FALSE
standing,149,FALSE
talent,149,FALSE
tweeting,149,FALSE
vegas,149,FALSE
companies,148,FALSE
everyday,148,FALSE
fell,148,FALSE
michael,148,FALSE
none,148,FALSE
official,148,FALSE
opened,148,FALSE
stick,148,FALSE
term,148,FALSE
uk,148,FALSE
artist,147,FALSE
fish,147,FALSE
hungry,147,FALSE
named,147,FALSE
rights,147,FALSE
sales,147,FALSE
somebody,147,FALSE
strange,147,FALSE
today's,147,FALSE
yours,147,FALSE
classes,146,FALSE
collection,146,FALSE
marriage,146,FALSE
pages,146,FALSE
